segment_id,new_segment_id,distance_m,speed_limit_kph,street_name,metric_time_set,speed_kph,route_id,time_set_raw,time_set,route_name,sample_size,travel_time_ratio_vs_am
258400000247894,0000554d-4100-0400-0000-0000000c4fd3,1009.42,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,18.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1836,
258400000736302,908753be-8ff2-4dff-9dce-2bd5538bf4e6,1054.07,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,22.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2280,
258400000739139,9530c6e0-9cb8-48d3-901d-5d3ba0e99c30,1087.58,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,21.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2278,
258400000229107,0000554d-4100-0400-0000-0000000c5008,1111.33,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,25.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2087,
258400001312957,f92d1ddd-1bf2-4d0e-9b29-bf7b449cfaae,1190.64,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,20.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2043,
258400001311020,b7b47e73-2ef6-4d9a-bd96-f5c252cd7f3c,1261.03,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,12.0,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1973,
258400000538082,0000554d-4100-0400-0000-000000140f38,1273.53,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,15.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2452,
258400000737422,ad53060a-f2c0-48b9-9176-99f9d7f89e71,1324.7,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,16.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2176,
258400000738560,a3bf8214-86d8-4701-a96d-14bb43bb85f3,1373.0,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,9.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2165,
258400000043395,0000554d-4100-0400-0000-0000000c50d0,1461.9,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,22.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1629,
258400000139781,0000554d-4100-0400-0000-0000000c50fb,1538.34,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,28.6,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1545,
258400000245081,0000554d-4100-0400-0000-0000000c511a,1607.31,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,26.4,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1668,
258400000018596,0000554d-4100-0400-0000-0000000c3701,1681.25,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,28.0,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1986,
258400001238115,9de9ca18-5c46-4d89-b5af-a9eaac93c27c,1726.72,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,29.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2170,
258400001405667,c181fbcd-7a1f-4677-b352-390375b9e287,1745.7,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,32.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2204,
258400001406192,a1daa716-b156-49b7-b5e0-a4c9fb8cd53f,1753.37,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,34.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2213,
258400000966602,e70596a2-7d93-4675-8dae-ac48af26732b,1765.69,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,35.0,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2217,
258400001406191,ce3ff4a5-2581-4792-87fb-d54938215ffb,1772.08,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,34.4,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2230,
258400001404829,d55d3470-9503-44ec-8247-dac87b4373e7,1849.88,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,27.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2188,
258400000533477,0000554d-4100-0400-0000-0000000c3e8d,1875.44,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,22.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,3113,
258400000694434,f03aa1e2-b0e9-4591-9cd8-42e0540a0267,1909.14,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,29.6,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,3120,
258400000694431,8146d18b-aa23-4074-bad0-3cc05532c80b,1928.41,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,29.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,3138,
258400000242907,0000554d-4100-0400-0000-0000000c374c,1975.92,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,30.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,3237,
258400000188373,0000554d-4100-0400-0000-0000000c3760,2044.57,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,29.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2877,
258400000024692,0000554d-4100-0400-0000-0000000c3781,2138.41,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,31.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2879,
258400000538083,0000554d-4100-0400-0000-0000000c3784,2153.72,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,29.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2911,
258400000154434,0000554d-4100-0400-0000-0000000c379c,2213.04,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,21.8,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2935,
258400000049807,0000554d-4100-0400-0000-0000000c37af,2264.14,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,22.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2897,
258400000210905,0000554d-4100-0400-0000-0000000c5258,2315.02,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,10.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2892,
258400000462436,0000554d-4100-0400-0000-0000000c526c,2351.11,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,19.6,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,4060,
258400000208203,0000554d-4100-0400-0000-000000127d7f,2388.94,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,24.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2788,
258400001243986,972c88cb-8533-4e84-9b8f-cb778b653fc9,2399.23,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,26.1,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2798,
258400001238896,d1715099-2f42-4610-ba44-0f7b1d4117c1,2410.73,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,26.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2810,
258400000718650,801c0acb-684d-4f49-af45-66ea03f3adf7,2415.9,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,28.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2818,
258400000718387,ab9b8f3a-8886-4ef6-9ed4-c421f3b498f0,2493.33,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,28.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2780,
258400000392626,0000554d-4100-0400-0000-0000000c52c6,2510.98,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,34.6,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2779,
258400000694435,f68bcd2c-83ac-430e-b428-b898def63c21,2525.5,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,35.3,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2777,
258400000694436,a41b1393-fec9-44e5-a6cf-8bad722628e4,2592.15,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,33.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2742,
258400000264983,0000554d-4100-0400-0000-0000000c5309,2639.87,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,34.0,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2724,
258400000185219,0000554d-4100-0400-0000-0000000c532d,2700.11,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,31.2,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2645,
