source_workbook,source_sheet,route_name,time_set,date,travel_time,speed,sample_size
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400001406191,Route1-Speeds(harmonic avg),,258400001406191.0,258400001406191.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400001404829,Route1-Speeds(harmonic avg),,258400001404829.0,258400001404829.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000533477,Route1-Speeds(harmonic avg),,258400000533477.0,258400000533477.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000694434,Route1-Speeds(harmonic avg),,258400000694434.0,258400000694434.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000694431,Route1-Speeds(harmonic avg),,258400000694431.0,258400000694431.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000242907,Route1-Speeds(harmonic avg),,258400000242907.0,258400000242907.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000188373,Route1-Speeds(harmonic avg),,258400000188373.0,258400000188373.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000024692,Route1-Speeds(harmonic avg),,258400000024692.0,258400000024692.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000538083,Route1-Speeds(harmonic avg),,258400000538083.0,258400000538083.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000154434,Route1-Speeds(harmonic avg),,258400000154434.0,258400000154434.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000049807,Route1-Speeds(harmonic avg),,258400000049807.0,258400000049807.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000210905,Route1-Speeds(harmonic avg),,258400000210905.0,258400000210905.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000462436,Route1-Speeds(harmonic avg),,258400000462436.0,258400000462436.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000208203,Route1-Speeds(harmonic avg),,258400000208203.0,258400000208203.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400001243986,Route1-Speeds(harmonic avg),,258400001243986.0,258400001243986.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400001238896,Route1-Speeds(harmonic avg),,258400001238896.0,258400001238896.0,
jobs_9031079_results_Worcester_test,Route1-Speeds(harmonic avg),258400000718650,Route1-Speeds(harmonic avg),,258400000718650.0,258400000718650.0,
